院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
能源与动力工程学院,391,365,0.9335,213,189,0.8873,178,176,0.9888,32,32,1,146,144,0.9863,2024
电气工程学院,642,620,0.9657,331,310,0.9366,311,310,0.9968,60,59,0.9833,251,251,1,2024
体育学院,43,36,0.8372,30,23,0.7667,13,13,1,-,-,-,13,13,1,2024
美视电影学院,280,223,0.7964,223,172,0.7713,57,51,0.8947,-,-,-,57,51,0.8947,2024
外国语学院,239,206,0.8619,130,107,0.8231,109,99,0.9083,2,2,1,107,97,0.9065,2024
博雅学院&人文社会科学高等研究院,78,66,0.8462,39,33,0.8462,39,33,0.8462,2,2,1,37,31,0.8378,2024
医学院,54,45,0.8333,-,-,-,54,45,0.8333,2,2,1,52,43,0.8269,2024
国家卓越工程师学院,28,28,1.0,28,28,1,-,-,-,-,-,-,-,-,-,2024
法学院,314,264,0.8408,128,95,0.7422,186,169,0.9086,16,16,1,170,153,0.9,2023
马克思主义学院,42,40,0.9524,-,-,-,42,40,0.9524,1,1,1,41,39,0.9512,2023
建筑城规学院,430,392,0.9116,216,188,0.8704,214,204,0.9533,11,9,0.8182,203,195,0.9606,2023
环境与生态学院,410,405,0.9878,210,209,0.9952,200,196,0.98,23,23,1,177,173,0.9774,2023
化学化工学院,360,339,0.9417,150,135,0.9,210,204,0.9714,45,43,0.9556,165,161,0.9758,2023
艺术学院,273,220,0.8059,223,173,0.7758,50,47,0.94,-,-,-,50,47,0.94,2023
管理科学与房地产学院,518,510,0.9846,237,230,0.9705,281,280,0.9964,4,4,1,277,276,0.9964,2023
航空航天学院,173,147,0.8497,113,88,0.7788,60,59,0.9833,9,8,0.8889,51,51,1,2023
材料科学与工程学院,651,592,0.9094,351,299,0.8519,300,293,0.9767,56,55,0.9821,244,238,0.9754,2023
经济与工商管理学院,906,868,0.9581,277,257,0.9278,629,611,0.9714,40,38,0.95,589,573,0.9728,2023
公共管理学院,442,434,0.9819,150,150,1,292,284,0.9726,7,7,1,285,277,0.9719,2023
